,team_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
0,9930,2/22/10 0:00,60,1,,0,50,1,1,60,1,65,1,55,1,1,50,1,55,1,45,1,0
1,9930,9/19/14 0:00,52,1,48.0,1,56,1,1,54,1,63,1,64,1,1,47,1,44,1,54,1,0
2,9930,9/10/15 0:00,47,1,41.0,1,54,1,1,54,1,63,1,64,1,1,47,1,44,1,54,1,0
3,8485,2/22/10 0:00,70,2,,0,70,2,1,70,2,70,2,70,2,1,60,1,70,2,70,2,0
4,8485,2/22/11 0:00,47,1,,0,52,1,1,53,1,48,1,52,1,1,47,1,47,1,52,1,0
5,8485,2/22/12 0:00,58,1,,0,62,1,1,45,1,70,2,55,1,1,40,1,40,1,60,1,0
6,8485,9/20/13 0:00,62,1,,0,45,1,1,40,1,50,1,55,1,1,42,1,42,1,60,1,0
7,8485,9/19/14 0:00,58,1,64.0,1,62,1,1,56,1,68,2,57,1,1,41,1,42,1,60,1,0
8,8485,9/10/15 0:00,59,1,64.0,1,53,1,1,51,1,72,2,63,1,0,49,1,45,1,63,1,0
9,8576,2/22/10 0:00,60,1,,0,40,1,1,45,1,35,1,55,1,1,30,0,70,2,30,0,1
10,8576,2/22/11 0:00,65,1,,0,45,1,1,65,1,65,1,50,1,1,45,1,45,1,50,1,0
11,8576,2/22/12 0:00,59,1,,0,52,1,1,48,1,34,1,52,1,1,38,1,47,1,53,1,0
12,8576,9/20/13 0:00,59,1,,0,52,1,1,48,1,34,1,52,1,1,38,1,47,1,53,1,0
13,8576,9/19/14 0:00,59,1,57.0,1,52,1,1,48,1,38,1,52,1,1,38,1,47,1,53,1,0
14,8576,9/10/15 0:00,59,1,57.0,1,52,1,1,48,1,38,1,52,1,1,38,1,47,1,53,1,0
15,8564,2/22/10 0:00,45,1,,0,30,0,0,55,1,45,1,70,2,0,30,0,35,1,60,1,1
16,8564,2/22/11 0:00,65,1,,0,50,1,1,50,1,60,1,50,1,0,50,1,50,1,50,1,1
17,8564,2/22/12 0:00,45,1,,0,50,1,1,65,1,20,0,50,1,0,45,1,45,1,50,1,0
18,8564,9/20/13 0:00,48,1,,0,54,1,1,51,1,53,1,64,1,0,48,1,49,1,53,1,0
19,8564,9/19/14 0:00,48,1,70.0,2,52,1,1,66,1,36,1,75,2,1,58,1,57,1,49,1,0
20,8564,9/10/15 0:00,48,1,70.0,2,52,1,1,66,1,36,1,69,2,1,58,1,57,1,49,1,0
21,10215,2/22/10 0:00,30,0,,0,30,0,1,50,1,60,1,55,1,1,30,0,30,0,30,0,1
22,10215,2/22/11 0:00,30,0,,0,50,1,1,50,1,50,1,55,1,1,30,0,45,1,65,1,0
23,10215,2/22/12 0:00,45,1,,0,44,1,1,55,1,57,1,60,1,1,52,1,38,1,61,1,0
24,10215,9/20/13 0:00,45,1,,0,44,1,1,55,1,57,1,60,1,1,52,1,38,1,61,1,0
25,10215,9/19/14 0:00,52,1,53.0,1,44,1,1,55,1,51,1,60,1,1,39,1,38,1,61,1,0
26,10215,9/10/15 0:00,53,1,53.0,1,44,1,1,55,1,51,1,60,1,1,39,1,38,1,61,1,0
27,10217,2/22/10 0:00,30,0,,0,35,1,1,30,0,50,1,65,1,1,30,0,30,0,30,0,0
28,10217,2/22/11 0:00,53,1,,0,53,1,1,48,1,67,2,66,1,1,46,1,62,1,65,1,0
29,10217,2/22/12 0:00,38,1,,0,44,1,1,55,1,60,1,44,1,1,50,1,58,1,62,1,0
30,10217,9/20/13 0:00,38,1,,0,47,1,1,55,1,55,1,44,1,1,50,1,58,1,52,1,0
31,10217,9/19/14 0:00,58,1,47.0,1,55,1,1,55,1,52,1,44,1,1,57,1,50,1,52,1,0
32,10217,9/10/15 0:00,56,1,40.0,1,66,1,1,55,1,52,1,38,1,1,40,1,50,1,52,1,0
33,8593,2/22/10 0:00,30,0,,0,30,0,0,50,1,60,1,70,2,1,30,0,30,0,30,0,0
34,8593,2/22/11 0:00,40,1,,0,38,1,0,67,2,65,1,67,2,1,65,1,57,1,63,1,0
35,8593,2/22/12 0:00,31,0,,0,33,0,1,39,1,64,1,46,1,0,68,2,65,1,60,1,0
36,8593,9/20/13 0:00,35,1,,0,33,0,0,39,1,52,1,46,1,0,68,2,65,1,50,1,0
37,8593,9/19/14 0:00,40,1,40.0,1,30,0,1,51,1,55,1,39,1,0,64,1,53,1,64,1,0
38,8593,9/10/15 0:00,35,1,43.0,1,39,1,1,58,1,55,1,30,0,0,64,1,53,1,59,1,0
39,9865,2/22/10 0:00,65,1,,0,45,1,1,45,1,45,1,70,2,1,70,2,65,1,30,0,0
40,9865,2/22/11 0:00,55,1,,0,53,1,1,57,1,54,1,69,2,1,58,1,68,2,67,2,0
